id,name,kcal
C1750401,蛋酥花生仁,592
C1750501,鹽酥花生仁,537
C1800101,芡實,336
C1910101,調味南瓜子(去殼),544
C1910201,調味南瓜子(帶殼),552
C2005101,愛玉子,300
C2110101,原味葵瓜子(去殼),569
C2110201,甘草葵瓜子(帶殼),486
C2110202,鹽酥葵瓜子(帶殼),558
C2200101,銀杏果,136
C2300101,生鮮蓮子,124
C2305101,生蓮子,307
C2350101,糖漬蓮子,223
C2405101,鷹嘴豆(大),338
C2405102,鷹嘴豆(小),197
D0100101,山竹,67
D02001,木瓜平均值,36
D0200101,木瓜(2月取樣),29
D0200102,木瓜(5月取樣),41
D0200103,木瓜(8月取樣),31
D0200104,木瓜(11月取樣),42
D0200201,青木瓜,25
D0300101,安石榴,60
D0400101,百香果,58
D0430101,百香果汁,73
D0500101,金黃奇異果,57
D0500201,奇異果,52
D0600101,紅毛丹,71
D0700101,紅龍果(白肉),49
D0700201,紅龍果(紅肉),48
D08001,北蕉平均值,82
D0800101,北蕉(2月取樣),90
D0800102,北蕉(5月取樣),89
D0800103,北蕉(9月取樣),63
D0800104,北蕉(11月取樣),88
D0800201,"北蕉(0天,綠皮)",87
D0800301,北蕉(1天),84
D0800401,北蕉(3天),81
D0800501,北蕉(7天),65
D0800601,李林蕉,98
D0800701,南華蕉,119
D0800801,紅皮蕉,93
D0800901,美人蕉,105
D0801001,蘋果蕉,90
D0900101,酪梨(綠皮),60
D0900201,酪梨(室溫存放0天),73
D0900301,酪梨(室溫存放3天),80
D0900401,酪梨(室溫存放6天),83
D1000101,榴槤,130
D1100101,突目1號鳳梨,55
D11002,鳳梨平均值(雜交種),51
D1100201,甘蔗鳳梨,55
D1100202,甜蜜蜜鳳梨,41
D1100203,金鑽鳳梨,49
D1100204,牛奶鳳梨,59
D1200101,釋迦,99
D1200201,鳳梨釋迦,99
D1300101,桑葚,30
D1330101,桑葚汁,25
D1400101,草莓,36
D1500101,土芭樂,31
D15002,芭樂平均值(白肉),33
D1500201,牛乳芭樂,28
D1500202,世紀芭樂,34
D1500203,珍珠芭樂,36
D1500204,泰國芭樂,34
D1500205,無子芭樂,29
D1500301,紅心芭樂,36
D16001,楊桃平均值,30
D1600101,楊桃(2月取樣),27
D1600102,楊桃(4月取樣),30
D1600103,楊桃(5月取樣),33
D1600104,楊桃(9月取樣),31
D1600105,楊桃(11月取樣),29
D1700101,美國紅葡萄,68
D1700201,巨峰葡萄,63
D17003,綠葡萄平均值,57
D1700301,美國綠葡萄,63
D1700302,意大利葡萄,51
D1700401,美國紅葡萄(含皮),60
D1700501,美國紫葡萄(含皮),79
D1700601,美國黑葡萄(含皮),61
D1700701,美國綠葡萄(含皮),86
D1700801,無子紅葡萄(含皮),71
D1700901,黑美人葡萄(含皮),65
D1701001,金香葡萄(含皮),59
D18001,蓮霧平均值(粉紅色種),34
D1800101,紅寶石蓮霧,32
D1800102,黑金剛蓮霧,32
D1800103,黑珍珠蓮霧,38
D1900101,華寶大西瓜(花蓮),32
D19002,西瓜平均值(紅肉小瓜),32
D1900201,皇宮西瓜,32
D1900202,紅鈴西瓜,34
D1900203,黑美人西瓜,36
D1900204,鳳光西瓜,27
D1900301,無子西瓜,32
D19004,西瓜平均值(黃肉小瓜),29
D1900401,小玉西瓜,34
D1900402,金蘭西瓜,23
D1900501,嘉寶瓜,40
D20001,甜瓜平均值(光皮洋香瓜),29
D2000101,太陽洋香瓜,32
D2000102,狀元瓜,26
D2000103,蜜世界洋香瓜,27
D20002,甜瓜平均值(東洋系脆瓜),36
D2000201,美濃瓜,36
D2000202,黃香瓜,30
D2000203,嘉玉甜瓜,42
D2000301,新世紀哈密瓜,38
D2000302,新疆哈蜜瓜,27
D20004,甜瓜平均值(網紋洋香瓜),36
D2000401,七股香洋香瓜,39
D2000402,天香洋香瓜,44
D2000403,秋香洋香瓜,33
D2000404,紅寶石洋香瓜,38
D2000405,香華洋香瓜,30
D2000406,藍寶石洋香瓜,32
D2100101,土芒果,53
D21002,芒果平均值(西洋種),48
D2100201,肯特芒果,48
D2100202,海頓芒果,57
D2100203,凱特芒果,48
D2100204,愛文芒果,41
D2100205,聖心芒果,48
D2100301,黑香芒果,64
D21004,芒果平均值(新興種),54
D2100401,四季芒果,57
D2100402,玉文芒果,61
D2100403,金煌芒果,49
D2100404,金蜜芒果,62
D2100405,金興芒果,40
D2100406,香水芒果,63
D2100407,蓮花芒果,46
D22001,荔枝平均值,64
D2200101,玉荷苞荔枝,67
D2200102,黑葉仔荔枝,60
D2200201,冷凍荔枝,27
D2300101,龍眼,70
D2310101,龍眼乾,273
D2310201,帶殼龍眼乾,274
D24001,李子平均值(青皮黃肉),45
D2400101,加州青李,44
D2400102,翡翠李,46
D24002,李子平均值(紅皮紅肉),37
D2400201,紅肉李(大),38
D2400202,紅肉李(小),35
D24003,李子平均值(紅皮黃肉),45
D2400301,加州紅李(台灣),42
D2400302,加州紅李(進口),58
D2400303,加州蜜李(進口),63
D2400304,香水李,35
D2400305,桃接李(大),36
D2400306,桃接李(小),33
D2400307,蜜棗李(進口),51
D2400401,黃肉李,34
D2400501,黑李,55
D2500101,枇杷,36
D2600101,筆柿,63
D27002,甜柿平均值,55
D2700201,富有甜柿(大雪山),55
D2700202,甜柿(進口),55
D2700301,牛心柿,56
D2700401,四周柿,59
D2700501,柿餅,175
